bloque_id,nombre,plataforma,umbral_envio_gratis_mxn,envio_mxn,consolida,estado,nota
ml-full,Mercado Libre Full,mercadolibre,299,0,si,verificado,"Es la palanca central de toda la compra en linea: los productos Full de VENDEDORES DISTINTOS salen de la misma bodega y llegan en UN SOLO paquete. 8 productos de 5 vendedores = 1 envio. Filtrar SIEMPRE por Full aunque cueste 5-10% mas: el sobreprecio casi siempre es menor que el envio que evita"
ml,Mercado Libre sin Full,mercadolibre,299,150,no,verificado,"Sin Full NO hay consolidacion entre vendedores: se paga un envio POR VENDEDOR. Varias partidas del mismo vendedor si comparten envio. Evitarlo siempre que exista la version Full"
amazon,Amazon Mexico,amazon,299,0,si,verificado,"El umbral se evalua sobre la suma del pedido, no producto por producto, pero SOLO cuenta lo vendido y enviado por Amazon Mexico. Lo de terceros sin Logistica de Amazon no suma y cobra envio aparte"
unit,UNIT Electronics · recoger en Copilco,recoger,0,0,si,verificado,"NO ENVIAR: tienen mostrador en Av. Copilco 357, Coyoacan, a 3 km, y UNIT Pick Up es gratis. Enviar costaria $59-79 y va limitado a 5 kg. Es el unico bloque que conviene recoger aunque estes comprando todo en linea"
steren,Steren,tienda_propia,499,0,si,verificado,"Politica oficial: envio gratis arriba de $499. Las partidas del BOM que le tocan lo rebasan de sobra. Tambien tienen sucursal en Miguel Angel de Quevedo, Coyoacan"
cyberpuerta,Cyberpuerta,tienda_propia,,250,si,aprox,"La mejor consolidacion de todas: politica textual, no se paga un envio por producto sino un costo proporcional al total, y si salen de centros distintos ellos absorben la diferencia. El monto exacto solo se ve en el carrito; $250 es estimacion de trabajo"
hydroenv,Hydro Environment,tienda_propia,,450,si,aprox,"NO tiene envio gratis: la paqueteria cobra por peso y volumen y la tienda no lo absorbe. Sustrato, semilla a granel y nutriente PESAN: si el pedido pasa de 70 kg se va por fletera por cobrar y se encarece mucho. Conviene partirlo en dos pedidos de menos de 70 kg, o recogerlo en su mostrador de Tlalnepantla"
hydrocultura,Hydrocultura,tienda_propia,,160,si,aprox,"Sin envio gratis. Son dos bolsas de semilla ligeras: sale el minimo de paqueteria. Tambien se puede recoger en Av. Toluca 1075, Alvaro Obregon, concertando antes"
homedepot,Home Depot en linea,tienda_propia,,200,si,no_verificado,"POR CONFIRMAR EN EL CARRITO: no se verifico su umbral de envio gratis. Ojo: casi todo lo que el BOM le compra (tubo de 6 m, tinaco, rack, refrigerador) NO viaja por paqueteria, asi que este bloque es chico y probablemente convenga recogerlo en Coapa del Hueso o Copilco"
sodimac,Sodimac en linea,tienda_propia,,200,si,no_verificado,"POR CONFIRMAR. El PTR de 6 m no viaja por paqueteria: esta parada es presencial o con flete de la propia acerera"
presencial,No viaja por paqueteria,na,,,no,verificado,"Excede el limite fisico de TODAS las paqueterias (ningun lado mayor a 150 cm, tope de 70 kg entre peso real y volumetrico) o es material restringido o un servicio. Compra presencial o fletera por cobrar, entre $800 y $2,500 dentro de CDMX segun volumen"
