partida_id,bloque,categoria,partida,cantidad,unidad,precio_unit_mxn,subtotal_mxn,cuenta_en_total,motivo_si_no_cuenta,proveedor_default,tienda_fisica,sucursal_o_zona,enlace,opciones_de_proveedor,temporada,notas
F0-001,hoy,rack,Rack de produccion 5 niveles (183x91x46 cm),1,pza,2019,2019,si,,Home Depot,si,"Home Depot Copilco, Eje 10 #546, Coyoacan",https://www.homedepot.com.mx/p/husky-estante-de-5-niveles-de-acero-183-x-914-x-457-cm-negro-zrop361872-5llb-150281,2,,362.9 kg/repisa. Forrar entrepanos con plastico o charola colectora
F0-002,hoy,charolas,Charola 10x20 PERFORADA (la de adentro del par),10,pza,60,600,si,,Al Natural,si,"Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",https://www.alnatural.com.mx/tienda/charolas-de-germinacion-venta-mayoreo,1,,"Flujo de doble charola: la perforada va DENTRO de la lisa. Se compran juntas, 10 pares"
F0-003,hoy,charolas,Charola 10x20 LISA (la de afuera: riego por fondo y blackout),10,pza,60,600,si,,Al Natural,si,"Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",https://www.alnatural.com.mx/tienda/charolas-de-germinacion-venta-mayoreo,1,,NO es duplicado de la perforada: es la otra mitad del par. Tambien sirve de tapa para la oscuridad
F0-004,hoy,semilla,Girasol: prueba A/B de semilla (juego de 2 lotes de 1 kg),1,juego,219,219,si,,Mayoreo Online (CEDA) + Al Natural,si,"Central de Abasto, bodega A-91, Iztapalapa / Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",https://mayoreo.online/products/semilla-de-girasol-con-cascara-jumbo,1,,"NO son dos compras del mismo insumo: es UN experimento. 3 charolas gemelas de cada lote. Si el de CEDA germina >=80% en V1, la recompra es costal de 5 kg a $140"
F0-005,hoy,semilla,Chicharo Early Perfection a granel,1,kg,340,0,no,informativo,Hydro Environment,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",https://hydroenv.com.mx/producto/gramo-de-semilla-de-chicharo-variedad-early-perfection/,1,,NO COMPRAR. A $340/kg y 275 g por charola son $93.50 de semilla: pierde dinero. Conseguir arvejon grado alimento en CEDA (~$40-60/kg) antes de sembrar chicharo
F0-006,hoy,semilla,Rabano Champion a granel,500,g,1.6,800,si,,Hydro Environment,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",https://hydroenv.com.mx/producto/gramo-de-semilla-de-rabano-var-champion/,1,,Rinde 25-30 g por charola. SIEMPRE comprar 500 g: el escalon de 453+ g cuesta $1.60/g contra $4.00/g de 100-452 g. Comprar 250 g para ahorrar SALE MAS CARO
F0-007,hoy,semilla,Betabel Early Wonder a granel,500,g,1.6,800,si,,Hydro Environment,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",https://hydroenv.com.mx/producto/gramo-de-semilla-de-betabel-o-remolacha-variedad-early-wonder/,1,,Ciclo mas largo que el rabano: sembrar menos volumen. Mismo escalon de precio que el rabano
F0-008,esta semana,semilla,Brocoli para brotes,1,bolsa,201,201,si,,Hydrocultura,no,"Av. Toluca 1075, Alvaro Obregon (bodega, recoleccion concertada)",https://hydrocultura.com/collections/semillas-para-microgreens-o-microvegetales,2,,"NO comprar en Hydro Environment: $3,500/kg. Confirmar gramaje de la bolsa antes de pagar"
F0-009,esta semana,semilla,"Variedades finas para muestras (amaranto, mostaza, cilantro)",3,sobre,100,300,si,,Semillas Organicas ISLA,si,"Ignacio Allende 21, Miguel Hidalgo",https://semillasisla.mx/collections/microgreens,1,,Solo muestras a chefs. Pasar a granel cuando haya pedido recurrente
F0-010,hoy,sustrato,Polvillo de coco para germinacion 50 L,2,pza,115,230,si,,Hydro Environment,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",https://hydroenv.com.mx/producto/polvillo-de-coco-para-germinacion-50-l-sustrato-organico/,2,,~$2.10 por charola. Al escalar: tarima de 20 blocks lavados
