categoria,item,cantidad,precio_unit_mxn,subtotal_mxn,estado_precio,proveedor,enlace,notas
estructura,PTR 1.5x1.5 pulg cal 14 x 6 m,15,382.85,5743,verificado,Sodimac (5+ pzas) / Aceros Crea (volumen),https://www.sodimac.com.mx/sodimac-mx/product/433713/ptr-1-1-2x1-1-2-calibre-14/433713,Tunel 3x6 m a dos aguas; disenar empalmes para ampliar a 5x6 en Fase 2
estructura,PTR 1 pulg largueros,4,275,1100,aprox,Sodimac / tlapaleria,https://www.sodimac.com.mx/sodimac-mx/category/cat11448/PTR,Largueros ligeros y contravientos
estructura,Soldadura o herrero + primario + tornilleria,1,2000,2000,aprox,herrero local / tlapaleria,,Herrero cobra $200-400/dia y trae equipo (evita comprar esmeriladora)
estructura,Anclaje: placas 10x10 + anclas de cuna 3/8 x 3,6 postes,180,1100,aprox,tlapaleria / Home Depot,https://www.homedepot.com.mx/s/taquete,2-4 anclas por placa sobre firme de concreto; NUNCA sin anclar (rachas 50-80 km/h)
cubierta,Plastico UV cal 720 blanco lechoso 25% sombra 6.2 m ancho,8 m,215,1720,verificado,Hydro Environment,https://hydroenv.com.mx/producto/metro-de-plastico-para-invernadero-25-sombra-6-2-m-de-ancho-cal-720/,Alternativa mitad de precio: corte 7.2x10 m invernaderosMX $1100 (confirmar espesor y garantia UV)
cubierta,Malla antigranizo 3.7 m ancho,40 m,40,1600,verificado,Capi Agricola,https://www.capiagricola.com.mx/product/malla-antigranizo-negra-3-70-m-x-metro/,Montada 10-20 cm SOBRE el plastico; instalada antes de mayo; pico estadistico agosto
cubierta,Perfil zigzag + resorte + cinta reparadora + canaleta PVC,1,1100,1100,aprox,Hydroenv / tlapaleria,https://hydroenv.com.mx/plastico-para-invernadero-y-campo/,La canaleta nace con la estructura (alimenta captacion pluvial)
racks,Estante Husky 5 niveles 183x91.4x45.7,3,2019,6057,verificado,Home Depot MX,https://www.homedepot.com.mx/p/husky-estante-de-5-niveles-de-acero-183-x-914-x-457-cm-negro-zrop361872-5llb-150281,Forrar entrepanos de MDF con plastico o charola; produccion escalonada lun/jue
agua,Tinaco Rotoplas Resistec 750 L,1,2051,2051,verificado,rotoplas.com.mx,https://rotoplas.com.mx/products/almacenamiento/tinacos/,Alcaldia con tandeo duro: subir a Plus+ 1100 L ($3774); sombreado u opaco
agua,Captacion pluvial DIY (canaleta + tlaloque casero PVC 4 + filtro hojas),1,1500,1500,aprox,tlapaleria,https://www.engineeringforchange.org/wp-content/uploads/2020/07/MANUAL-INSTALACI%C3%93N-KIT-TL%C3%81LOC-12-JUNIO-2019CH.pdf,Manual oficial gratis; en Fase 2 se reemplaza por Paquete Basico Tlaloc; aplicar a Cosecha de Lluvia SEDEMA en ene-feb
