opcion_id,partida_id,proveedor,producto,precio_unit_mxn,estado_precio,fecha_precio,tienda_fisica,sucursal_o_zona,distancia_desde_coyoacan,enlace,recomendacion,notas,plataforma,bloque_envio
OPC-001,F0-001,Home Depot,Husky 5 niveles ZROP361872,2019,verificado,2026-09-18,si,"Home Depot Copilco, Eje 10 #546, Coyoacan",5 km,https://www.homedepot.com.mx/p/husky-estante-de-5-niveles-de-acero-183-x-914-x-457-cm-negro-zrop361872-5llb-150281,default,Se compra en mostrador el mismo dia; checa existencia por sucursal antes de manejar,,
OPC-002,F0-001,Mercado Libre,Adir 5 niveles,1300,aprox,2026-09-18,no,solo en linea,,https://listado.mercadolibre.com.mx/rack-metalico-5-niveles,alternativa_austera,Menos rigido; suficiente para Fase 0. Ahorra $719,online,presencial
OPC-003,F0-002,Al Natural,Charola germinacion 10x20 con drenaje,60,aprox,2026-09-18,si,"Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",9 km,https://www.alnatural.com.mx/tienda/charolas-de-germinacion-venta-mayoreo,default,"Cotizar mayoreo por WhatsApp. CONFIRMAR MEDIDA: si es 52x23 cm y no 25.4x50.8, baja la densidad de siembra 6%",,
OPC-004,F0-003,Al Natural,Charola germinacion 10x20 sin drenaje,60,aprox,2026-09-18,si,"Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",9 km,https://www.alnatural.com.mx/tienda/charolas-de-germinacion-venta-mayoreo,default,Mismo pedido que las perforadas,,
OPC-005,F0-004,Mayoreo Online (CEDA) + Al Natural,1 kg girasol CEDA $34 + 1 kg girasol microgreens $185,219,verificado,2026-09-18,si,"Central de Abasto, bodega A-91, Iztapalapa / Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",18 km / 9 km,https://mayoreo.online/products/semilla-de-girasol-con-cascara-jumbo,default,"El de CEDA se consigue presencial en Central de Abasto; el especifico en Al Natural, Narvarte",,
OPC-006,F0-005,Hydro Environment,Chicharo var. Early Perfection granel,340,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/gramo-de-semilla-de-chicharo-variedad-early-perfection/,descartada,Precio prohibitivo para microgreens,,
OPC-007,F0-005,Semillas Casa Cobo / El Chino,Arvejon grado alimento a granel,50,aprox,2026-09-18,si,"Central de Abasto, bodega A-91, Iztapalapa",18 km,,alternativa,POR CONFIRMAR EN PISO: preguntar por arvejon sin tratamiento quimico. Es lo que hace viable al chicharo,,
OPC-008,F0-006,Hydro Environment,Semilla rabano var. Champion granel,1.6,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/gramo-de-semilla-de-rabano-var-champion/,default,Escalon 453+ g,,
OPC-009,F0-007,Hydro Environment,Semilla betabel var. Early Wonder granel,1.6,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/gramo-de-semilla-de-betabel-o-remolacha-variedad-early-wonder/,default,Escalon 453+ g,,
OPC-010,F0-008,Hydrocultura,Semilla brocoli microgreens,201,verificado,2026-09-18,no,"Av. Toluca 1075, Alvaro Obregon (bodega, recoleccion concertada)",12 km,https://hydrocultura.com/collections/semillas-para-microgreens-o-microvegetales,default,Tel 55 9435-6905. No es mostrador de paso: hay que concertar,tienda_propia,hydrocultura
OPC-011,F0-008,Semillas Casa Cobo / El Chino,Brocoli a granel,0,aprox,2026-09-18,si,"Central de Abasto, bodega A-91, Iztapalapa / Mercado de Cuemanco / El Chino, Xochimilco",18 km / 14 km,,alternativa,PRESENCIAL y probablemente mas barato. Pedir grado alimento sin tratamiento; precio por confirmar en piso,,
OPC-012,F0-009,Semillas Organicas ISLA,Sobres microgreens variados,100,aprox,2026-09-18,si,"Ignacio Allende 21, Miguel Hidalgo",16 km,https://semillasisla.mx/collections/microgreens,default,Tienda fisica; confirmar horario por telefono,,
OPC-013,F0-010,Hydro Environment,Polvillo de coco germinacion 50 L,115,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/polvillo-de-coco-para-germinacion-50-l-sustrato-organico/,default,,,
OPC-014,F0-010,Al Natural,Sustrato de coco,0,aprox,2026-09-18,si,"Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",9 km,,alternativa,"MUCHO mas cerca. Precio por confirmar en piso; si es competitivo, evita el viaje a Tlalnepantla",,
OPC-015,F0-011,Steren / super,Bascula digital de cocina 1 g,120,aprox,2026-09-18,si,"Steren Miguel Angel de Quevedo, Asia 47, Coyoacan",3 km,,default,,,
OPC-016,F0-012,Steren,Bascula de precision 0.1 g,180,aprox,2026-09-18,si,"Steren Miguel Angel de Quevedo, Asia 47, Coyoacan",3 km,,default,,,
OPC-017,F0-013,Supermercado / Costco Coapa,Tijera recta inox de cocina,90,aprox,2026-09-18,si,"Costco Coapa, Tlalpan",7 km,,default,,,
OPC-018,F0-014,Home Depot,Atomizador 1 L,80,aprox,2026-09-18,si,"Home Depot Copilco, Eje 10 #546, Coyoacan",5 km,https://www.homedepot.com.mx/s/atomizador,default,,,
