partida_id,fase,bloque,categoria,partida,cantidad,unidad,precio_unit_mxn,subtotal_mxn,cuenta_en_total,motivo_si_no_cuenta,opcion_default,ya_comprado_en,temporada,notas
F0-001,0,hoy,rack,Rack de produccion 5 niveles (183x91x46 cm),1,pza,2019,2019,si,,OPC-001,,,362.9 kg/repisa. Forrar entrepanos con plastico o charola colectora
F0-002,0,hoy,charolas,Charola 10x20 PERFORADA (la de adentro del par),10,pza,60,600,si,,OPC-003,,,"Flujo de doble charola: la perforada va DENTRO de la lisa. Se compran juntas, 10 pares"
F0-003,0,hoy,charolas,Charola 10x20 LISA (la de afuera: riego por fondo y blackout),10,pza,60,600,si,,OPC-004,,,NO es duplicado de la perforada: es la otra mitad del par. Tambien sirve de tapa para la oscuridad
F0-004,0,hoy,semilla,Girasol: prueba A/B de semilla (juego de 2 lotes de 1 kg),1,juego,219,219,si,,OPC-005,,,"NO son dos compras del mismo insumo: es UN experimento. 3 charolas gemelas de cada lote. Si el de CEDA germina >=80% en V1, la recompra es costal de 5 kg a $140"
F0-005,0,hoy,semilla,Chicharo Early Perfection a granel,1,kg,340,340,no,informativo,OPC-006,,,NO COMPRAR. A $340/kg y 275 g por charola son $93.50 de semilla: pierde dinero. Conseguir arvejon grado alimento en CEDA (~$40-60/kg) antes de sembrar chicharo
F0-006,0,hoy,semilla,Rabano Champion a granel,500,g,1.6,800,si,,OPC-008,,,Rinde 25-30 g por charola. SIEMPRE comprar 500 g: el escalon de 453+ g cuesta $1.60/g contra $4.00/g de 100-452 g. Comprar 250 g para ahorrar SALE MAS CARO
F0-007,0,hoy,semilla,Betabel Early Wonder a granel,500,g,1.6,800,si,,OPC-009,,,Ciclo mas largo que el rabano: sembrar menos volumen. Mismo escalon de precio que el rabano
F0-008,0,esta semana,semilla,Brocoli para brotes,1,bolsa,201,201,si,,OPC-010,,,"NO comprar en Hydro Environment: $3,500/kg. Confirmar gramaje de la bolsa antes de pagar"
F0-009,0,esta semana,semilla,"Variedades finas para muestras (amaranto, mostaza, cilantro)",3,sobre,100,300,si,,OPC-012,,,Solo muestras a chefs. Pasar a granel cuando haya pedido recurrente
F0-010,0,hoy,sustrato,Polvillo de coco para germinacion 50 L,2,pza,115,230,si,,OPC-013,,,~$2.10 por charola. Al escalar: tarima de 20 blocks lavados
F0-011,0,hoy,operacion,Bascula de cosecha 1 g (hasta 5-10 kg),1,pza,120,120,si,,OPC-015,,,Pesa la cosecha y arma pedidos. NO puede hacer el trabajo de la de dosificacion
F0-012,0,hoy,operacion,Bascula de dosificacion 0.1 g (hasta 500 g),1,pza,180,180,si,,OPC-016,,,Dosifica semilla por charola y despues sales A/B. NO puede hacer el trabajo de la de cosecha
F0-013,0,hoy,operacion,Tijera recta de acero inoxidable,1,pza,90,90,si,,OPC-017,,,Mejor que tijera de jardin para microgreens
F0-014,0,hoy,operacion,Atomizador 1 L,2,pza,80,160,si,,OPC-018,,,Son 2 a proposito: uno queda EXCLUSIVO para H2O2 y etiquetado. Mezclarlos contamina el agua de riego
F0-015,0,hoy,sanidad,Guantes de nitrilo (caja 100),1,caja,250,250,si,,OPC-020,,,
F0-016,0,esta semana,sanidad,Sanitizante de semilla y charolas (H2O2 35% grado alimenticio),1,L,200,200,si,,OPC-021,,,Se diluye 1:11 para llegar a 3%: 1 L rinde ~11 L de solucion de trabajo. DILUIR SIEMPRE
F0-017,0,hoy,sanidad,Agua oxigenada 3% de farmacia (puente del dia 1),2,pza,30,60,si,,OPC-023,,,Es el puente mientras llega el H2O2 al 35%. No es duplicado: es la presentacion lista para usar del dia 1
F0-018,0,post-gate,sanidad,"Hipoclorito de calcio 65% (estandar duro 20,000 ppm)",1,kg,250,250,no,condicional,OPC-024,,,Solo si un cliente hotelero o corporativo exige el estandar duro. 31 g/L 15 min + triple enjuague
F0-019,0,esta semana,empaque,Clamshell PET 8 oz,100,pza,3.5,350,si,,OPC-026,,,"Al escalar, cotizar fabricante"
F0-020,0,esta semana,empaque,Etiquetas adhesivas (tiraje chico),300,pza,2.0,600,si,,OPC-028,,,Marca + variedad + fecha de cosecha + lote + contacto. El lote es lo que hace posible un recall
F0-021,0,hoy,operacion,Termometro de cocina,1,pza,150,150,si,,OPC-029,,,Doble uso: precalentado a 60 C para sanitizar semilla y registro de cadena de frio en entregas
F0-022,0,esta semana,libros,Microgreens: The Insiders Secrets (Donny Greens),1,pza,396.6,396.6,si,,OPC-030,,,El libro de VENDER a chefs. Leer antes de las visitas
F0-023,0,esta semana,libros,El jardinero horticultor (Fortier),1,pza,488,488,si,,OPC-031,,,Siembras escalonadas y canal directo
